term	arousal	dominance	valence
amphitheater	0.48	0.545	0.653
ample	0.349	0.719	0.744
amplification	0.677	0.81	0.69
amplify	0.735	0.827	0.677
amplitude	0.439	0.692	0.694
amply	0.431	0.766	0.781
amputate	0.66	0.509	0.092
amputation	0.755	0.483	0.1
amuck	0.602	0.321	0.385
amulet	0.26	0.63	0.781
amuse	0.684	0.664	0.812
amused	0.847	0.596	0.942
amusement	0.837	0.803	0.929
amusing	0.829	0.632	0.96
ana	0.3	0.314	0.541
anaconda	0.83	0.54	0.146
anaesthesia	0.217	0.473	0.35
anaesthetic	0.268	0.509	0.449
anagram	0.327	0.449	0.552
anal	0.798	0.334	0.333
analgesic	0.321	0.441	0.417
analogous	0.27	0.5	0.531
analogue	0.32	0.446	0.57
analogy	0.367	0.509	0.51
analysis	0.448	0.705	0.729
analyst	0.415	0.755	0.604
analytic	0.521	0.634	0.665
analytical	0.324	0.8	0.625
analyze	0.462	0.71	0.667
analyzer	0.556	0.854	0.625
anaphylactic	0.588	0.5	0.378
anarchism	0.804	0.623	0.125
anarchist	0.7	0.759	0.204
anarchy	0.755	0.62	0.146
anastomosis	0.47	0.49	0.375
anathema	0.49	0.519	0.286
anatomic	0.442	0.546	0.562
anatomy	0.39	0.571	0.562
ancestor	0.388	0.594	0.592
ancestral	0.481	0.75	0.64
ancestry	0.519	0.717	0.708
anchor	0.284	0.564	0.52
anchorage	0.325	0.639	0.5
ancient	0.217	0.439	0.42
ancillary	0.442	0.278	0.449
androgen	0.523	0.527	0.255
android	0.436	0.5	0.663
anecdote	0.529	0.5	0.583
anemia	0.327	0.31	0.188
anemic	0.279	0.155	0.167
anemone	0.538	0.327	0.552
anesthesia	0.216	0.394	0.365
anesthesiologist	0.224	0.526	0.419
anesthetic	0.264	0.482	0.35
aneurysm	0.69	0.536	0.115
anew	0.358	0.385	0.771
angel	0.158	0.704	0.906
angelic	0.298	0.668	0.927
anger	0.865	0.657	0.167
angered	0.86	0.547	0.01
angermanagement	0.632	0.482	0.26
angina	0.63	0.464	0.23
angiogram	0.52	0.465	0.347
angiography	0.536	0.52	0.378
angle	0.33	0.455	0.541
angling	0.408	0.5	0.625
angora	0.425	0.405	0.529
angriest	0.892	0.43	0.094
angry	0.83	0.604	0.122
angrytweet	0.644	0.471	0.265
angst	0.888	0.333	0.167
anguish	0.792	0.265	0.153
anguished	0.72	0.307	0.135
angular	0.281	0.444	0.449
anhydrous	0.365	0.355	0.456
animal	0.51	0.513	0.521
animate	0.755	0.635	0.827
animated	0.676	0.538	0.823
animation	0.75	0.549	0.888
animosity	0.724	0.545	0.51
animus	0.676	0.466	0.698
ankle	0.274	0.234	0.5
anklet	0.276	0.302	0.41
annals	0.61	0.424	0.427
annex	0.35	0.458	0.594
annexation	0.5	0.555	0.342
annexe	0.35	0.392	0.584
annihilate	0.918	0.681	0.115
annihilated	0.76	0.324	0.08
annihilation	0.8	0.591	0.041
anniversary	0.77	0.723	0.88
annotate	0.469	0.441	0.592
annotation	0.47	0.619	0.604
announce	0.618	0.611	0.694
announcement	0.491	0.482	0.729
announcer	0.57	0.732	0.602
annoy	0.765	0.286	0.094
annoyance	0.718	0.342	0.167
annoyed	0.783	0.345	0.104
annoyin	0.573	0.352	0.26
annoying	0.853	0.348	0.082
annoys	0.778	0.435	0.146
annual	0.236	0.5	0.552
annuity	0.304	0.527	0.521
annul	0.448	0.364	0.25
annular	0.385	0.412	0.31
annulment	0.375	0.447	0.153
annulus	0.38	0.376	0.458
anointed	0.368	0.579	0.5
anointing	0.35	0.547	0.653
anomalous	0.48	0.423	0.281
anomaly	0.538	0.404	0.188
anon	0.354	0.298	0.479
anonymity	0.255	0.43	0.469
anonymous	0.291	0.431	0.396
anorexic	0.618	0.245	0.16
answer	0.373	0.661	0.537
answerable	0.481	0.75	0.708
answering	0.5	0.607	0.684
ant	0.216	0.216	0.448
antagonism	0.618	0.524	0.224
antagonist	0.615	0.7	0.24
antagonistic	0.604	0.565	0.296
antagonize	0.663	0.629	0.143
ante	0.32	0.417	0.448
antecedent	0.551	0.566	0.427
antelope	0.51	0.5	0.542
antenna	0.327	0.358	0.521
anterior	0.245	0.362	0.51
anthem	0.343	0.729	0.78
anthill	0.578	0.377	0.327
anthology	0.406	0.537	0.338
anthrax	0.73	0.5	0.188
anthropological	0.39	0.49	0.367
anthropologist	0.385	0.725	0.551
anthropology	0.367	0.582	0.49
anti	0.412	0.384	0.365
antiaircraft	0.622	0.629	0.33
antibiotic	0.373	0.658	0.51
antibiotics	0.406	0.557	0.448
antichrist	0.837	0.544	0.082
anticipate	0.469	0.667	0.622
anticipation	0.539	0.711	0.698
anticipatory	0.551	0.682	0.653
antics	0.74	0.236	0.448
antidote	0.49	0.629	0.541
antifungal	0.412	0.441	0.408
antigravity	0.714	0.658	0.43
antimony	0.398	0.49	0.378
antipathy	0.549	0.393	0.198
antiquarian	0.233	0.426	0.5
antiquated	0.392	0.236	0.42
antique	0.29	0.518	0.634
antiques	0.37	0.595	0.54
antiquity	0.333	0.556	0.385
antiseptic	0.37	0.623	0.438
antisocial	0.686	0.391	0.146
antithesis	0.412	0.536	0.396
antithetical	0.509	0.358	0.271
antiviral	0.47	0.549	0.459
antler	0.47	0.5	0.448
antsy	0.558	0.417	0.449
anus	0.644	0.35	0.347
anvil	0.51	0.604	0.38
anxiety	0.865	0.342	0.146
anxietyattack	0.925	0.446	0.15
anxious	0.875	0.434	0.281
anxiousness	0.814	0.282	0.235
anytime	0.461	0.436	0.625
aorta	0.51	0.542	0.448
aortic	0.54	0.438	0.436
apace	0.5	0.536	0.536
apache	0.469	0.5	0.687
apartment	0.393	0.58	0.719
apartments	0.337	0.443	0.704
apathetic	0.292	0.333	0.188
apathy	0.212	0.204	0.184
ape	0.389	0.336	0.548
aperture	0.45	0.667	0.612
apex	0.433	0.418	0.57
aphid	0.473	0.407	0.388
aphrodisiac	0.846	0.667	0.75
apiece	0.259	0.383	0.439
aplomb	0.509	0.582	0.5
apocalypse	0.867	0.736	0.05
apocalyptic	0.88	0.75	0.173
apologetic	0.461	0.571	0.479
apologist	0.429	0.526	0.406
apologize	0.378	0.389	0.551
apology	0.346	0.402	0.571
apostasy	0.52	0.517	0.388
apostate	0.5	0.528	0.342
apostle	0.347	0.732	0.646
apostolic	0.3	0.717	0.592
apostrophe	0.368	0.537	0.469
apothecary	0.328	0.529	0.561
appalled	0.792	0.562	0.194
appalling	0.827	0.415	0.16
apparatus	0.353	0.377	0.375
apparel	0.435	0.453	0.698
apparent	0.383	0.398	0.473
apparently	0.41	0.426	0.531
apparition	0.573	0.636	0.406
appeal	0.598	0.558	0.663
appear	0.506	0.567	0.735
appearance	0.49	0.534	0.669
appease	0.278	0.434	0.633
appellant	0.588	0.568	0.327
append	0.464	0.453	0.573
appendage	0.382	0.438	0.229
appendectomy	0.67	0.554	0.177
appendicitis	0.64	0.347	0.031
appendix	0.387	0.425	0.365
appetite	0.637	0.581	0.704
appetizer	0.56	0.406	0.755
appetizing	0.657	0.688	0.806
applaud	0.824	0.464	0.865
applause	0.857	0.621	0.953
apple	0.3	0.264	0.811
apple juice	0.204	0.294	0.765
applejack	0.431	0.473	0.604
applesauce	0.167	0.291	0.75
appliance	0.453	0.538	0.582
appliances	0.394	0.567	0.594
applicability	0.49	0.741	0.677
applicable	0.43	0.667	0.469
applicant	0.558	0.688	0.612
application	0.445	0.726	0.646
apply	0.321	0.667	0.612
appoint	0.33	0.509	0.565
appointment	0.594	0.547	0.688
appointments	0.677	0.625	0.745
apportion	0.49	0.638	0.677
apportionment	0.481	0.453	0.552
appraisal	0.667	0.682	0.417
appraise	0.49	0.696	0.677
appreciable	0.491	0.778	0.873
appreciate	0.422	0.741	0.885
appreciated	0.434	0.779	0.91
appreciates	0.5	0.656	0.765
appreciation	0.529	0.588	0.917
appreciative	0.38	0.654	0.857
apprehend	0.624	0.696	0.521
apprehension	0.72	0.454	0.385
apprehensive	0.592	0.431	0.406
apprentice	0.413	0.452	0.615
apprenticeship	0.482	0.643	0.812
