****Dialogues from script :10_things_i_hate_about_you.txt****

rider		Hey -- sorry.
teacher		Mandella -- since you're assisting us, you might as well comment.  I'm assuming you read the assignment.
mandella		Uh, yeah, I read it all
teacher		The whole play^
mandelia		The whole folio.  All the plays.
teacher		 You've read every play by William Shakespeare?
mandella		Haven't you?
kat		The fact that you're cutting gym so you can T.A. Sophomore English just to hear his name, is a little without in itself if you ask me.
mandella		Who's that?
kat		Patrick Verona   Random skid.
mandella		That's Pat Verona? The one who was gone for a year? I heard he was doing porn movies.
kat		I'm sure he's completely incapable of doing anything that interesting.
mandella		He always look so
kat		Block E?
kat		 Mandella, eat.  Starving yourself is a very slow way to die.
mandella		Just a little.
kat		What's this?
mandella		An attempted slit.
kat		I realize that the men of this fine institution are severely lacking, but killing yourself so you can be with William Shakespeare is beyond the scope of normal teenage obsessions.  You're venturing far past daytime talk show fodder and entering the world of those who need very expensive therapy.
mandella		But imagine the things he'd say during sex.
kat		Okay, say you do it.  You kill yourself, you end up in wherever you end up and he's there.  Do you really think he's gonna wanna dace a ninety pound compulsive who failed volleyball?
cohort		Virgin alert.
joey		Lookin' good, ladies.
mandella		Tragic.
cameron		Why do girls like that always like guys like that?
michael		Because they're bred to.  Their mothers liked guys like that, and their grandmothers before them. Their gene pool is rarely diluted.
cameron		He always have that shit-eating grin?
michael		Joey Dorsey?  Perma-shit-grin.  I wish I could say he's a moron, but he's number twelve in the class.  And a model.  Mostly regional stuff, but he's rumored to have a big tube sock ad coming out.
michael		 You know French?
cameron		Sure do ... my Mom's from Canada
michael		Guess who just signed up for a tutor?
cameron		You mean I'd get a chance to talk to her?
michael		You could consecrate with her, my friend.
joey		 The vintage look is over, Kat. Haven't you been reading your Sassy?
kat		Yeah, and I noticed the only part of you featured in your big Kmart spread was your elbow.  Tough break.
joey		 They're running the rest of me next month.
kat		The people at this school are so incredibly foul.
mandella		You could always go with me.  I'm sure William has some friends.
joey		Need a ride, ladies?
mandella		That's a charming new development
kat		 Remove head from sphincter!  Then pedal!
cameron		You all right?
michael		Yeah, just a minor encounter with the shrew.
cameron		That's her?  Bianca's sister?
michael		The mewling, rampalian wretch herself.
kat		"Undulating with desire, Adrienne removes her crimson cape, revealing her creamy --"
sharon		In the microwave.
walter		 Make anyone cry today?
kat		Sadly, no.  But it's only four-thirty.
kat		 Where've you been?
bianca		 Nowhere... Hi, Daddy.
walter		Hello, precious.
kat		How touching.
walter		What's this?  It says Sarah Lawrence?
kat		I guess I got in
sharon		What's a synonym for throbbing?
walter		Sarah Lawrence is on the other side of the country.
kat		I know.
walter		I thought we decided you were going to
kat		You decided.
bianca		Is there even a question that we want her to stay?
kat		Ask Bianca who drove her home
sharon		Swollen...turgid.
walter		 Who drove you home?
bianca		Now don't get upset. Daddy, but there's this boy... and I think he might ask...
walter		No! You're not dating until your sister starts dating.  End of discussion.
bianca		What if she never starts dating?
walter		Then neither will you.  And I'll get to sleep at night.
bianca		But it's not fair -- she's a mutant, Daddy!
kat		This from someone whose diary is devoted to favorite grooming tips?
walter		Enough!
walter		 Do you know what this is?
walter		This is why you're not dating until your sister does.
bianca		But she doesn't want to date.
walter		Exactly my point
walter		 Jesus!  Can a man even grab a sandwich before you women start dilating?
sharon		Tumescent!
walter		 You're not helping.
bianca		Can we make this quick?  Roxanne Korrine and Andrew Barrett are having an incredibly horrendous public break- up on the quad.  Again.
cameron		Well, I thought we'd start with pronunciation, if that's okay with you.
bianca		Not the hacking and gagging and spitting part.  Please.
cameron		 Okay... then how 'bout we try out some French cuisine.  Saturday?  Night?
bianca		You're asking me out.  That's so cute. What's your name again?
cameron		 Forget it.
bianca		No, no, it's my fault -- we didn't have a proper introduction ---
cameron		Cameron.
bianca		The thing is, Cameron -- I'm at the mercy of a particularly hideous breed of loser.  My sister.  I can't date until she does.
cameron		Seems like she could get a date easy enough...
cameron		Why?
bianca		Unsolved mystery.  She used to be really popular when she started high school, then it was just like she got sick of it or something.
cameron		That's a shame.
bianca		Gosh, if only we could find Kat a boyfriend...
cameron		Let me see what I can do.
michael		You're in school for one day and you ask out the most beautiful girl?  Do you have no concept of the high school social code?
cameron		I teach her French, get to know her, dazzle her with charm and she falls in love with me.
michael		Unlikely, but even so, she still can't go out with you.  So what's the point?
cameron		What about him?
michael		 You wanna go out with him?
cameron		 No - he could wrangle with the sister.
michael		What makes you think he'll do it?
cameron		He seems like he thrives on danger
michael		No kidding.  He's a criminal.  I heard he lit a state trooper on fire.  He just got out of Alcatraz...
cameron		They always let felons sit in on Honors Biology?
michael		I'm serious, man, he's whacked.  He sold his own liver on the black market so he could buy new speakers.
cameron		Forget his reputation.  Do you think we've got a plan or not?
michael		Did she actually say she'd go out with you?
cameron		That's what I just said
michael		You know, if you do go out with Bianca, you'd be set.  You'd outrank everyone. Strictly A-list.  With me by your side.
cameron		I thought you hated those people.
michael		Hey -- I've gotta have a few clients when I get to Wall Street.
cameron		So now all we gotta do is talk to him.
michael		I'll let you handle that.
pepe		Some people like the Colombian, but it all depends on your acidity preference. Me?  I prefer East African and Indonesian.  You start the day with a Sumatra Boengie or maybe and Ethiopian Sidamo in your cup, you're that much farther ahead than someone drinkin' Cosia Rican or Kona -- you know what I mean?
cameron		Hey, there
cameron		 Later, then.
michael		Hey.
joey		Are you lost?
michael		Nope - just came by to chat
joey		We don't chat.
michael		Well, actually, I thought I'd run an idea by you.  You know, just to see if you're interested.
joey		We're not.
michael		 Hear me out.  You want Bianca don't you?
michael		 But she can't go out with you because her sister is this insane head case and no one will go out with her. right?
joey		Does this conversation have a purpose?
michael		So what you need to do is recruit a guy who'll go out with her.  Someone who's up for the job.
michael		Exactly
michael		Oh, hey, nothin' man   Purely good will on my part.
michael		 I have a dick on my face, don't I?
cameron		You got him involved?
michael		Like we had a choice?  Besides -- when you let the enemy think he's orchestrating the battle, you're in a position of power. We let him pretend he's calling the shots, and while he's busy setting up the plan, you have time to woo Bianca.
cameron		You're one brilliant guy
kat		So he has this huge raging fit about Sarah Lawrence and insists that I go to his male-dominated, puking frat boy, number one golf team school. I have no say at all.
mandella		William would never have gone to a state school.
kat		William didn't even go to high school
mandella		That's never been proven
kat		Neither has his heterosexuality.
kat		 Do you mind?
mandella		Does it matter?
kat		If I was Bianca, it would be, "Any school you want, precious.  Don't forget your tiara."
mandella		Janice Parker told me he was a roadie for Marilyn Manson.
patrick		Touch of the flu.
miss perky		I'm at a loss, then.  What should we talk about? Your year of absence?
patrick		How 'bout your sex life?
miss perky		Why don't we discuss your driving need to be a hemorrhoid?
miss perky		You weren't abused, you aren't stupid, and as far as I can tell, you're only slightly psychotic -- so why is it that you're such a fuck-up?
patrick		Well, you know -- there's the prestige of the job title... and the benefits package is pretty good...
miss perky		Fine.  Go do something repugnant and give us something to talk about next week.
mandella		Look, it's really easy.
trevor		You're a freedom fighter. Be proud, sister.
mandella		Your "people" are white, suburban high school boys who smoke too much hemp.  I have not freed you, Trevor.  Only you can free yourself.
bianca		C'esc ma tete. This is my head
cameron		Right.  See?  You're ready for the quiz.
bianca		I don't want to know how to say that though.  I want to know useful things. Like where the good stores are.  How much does champagne cost?  Stuff like Chat.  I have never in my life had to point out my head to someone.
cameron		That's because it's such a nice one.
bianca		Forget French.
bianca		 How is our little Find the Wench A Date plan progressing?
cameron		Well, there's someone I think might be --
bianca		Show me
bianca		Give me a sign when he walks by.  And don't point.
cameron		There.
bianca		Where?
cameron		I guess he didn't see me  Some other time --
bianca		My God, he's repulsive. He's so perfect!
patrick		Yeah
patrick		Two legs, nice rack...
joey		Yeah, whatever.  I want you to go out with her.
patrick		Sure, Sparky.  I'll get right on it.
patrick		You need money to take a girl out
joey		But you'd go out with her if you had the cake?
joey		You got it, Verona.  I pick up the tab, you do the honors.
patrick		You're gonna pay me to take out some girl?
joey		I can't date her sister until that one gets a boyfriend.  And that's the catch. She doesn't want a boyfriend.
patrick		I can't take a girl like that out on twenty bucks.
patrick		Fifty, and you've got your man.
patrick		There's a way to get a guy's attention.
kat		My mission in life.
kat		Oh, right.  Friday.
patrick		The night I take you to places you've never been before.  And back.
kat		Like where?  The 7-Eleven on Burnside? Do you even know my name, screwboy?
scurvy		So I guess the Jeep won't be getting a new Blaupunkt.
bianca		Have you ever considered a new look? I mean, seriously, you could have some potential buried under all this hostility.
kat		I have the potential to smack the crap out of you if you don't get out of my way.
bianca		Can you at least start wearing a bra?
patrick		Hey
kat		I don't really think you warrant that strong an emotion.
patrick		Then say you'll spend Dollar Night at the track with me.
patrick		Come on -- the ponies, the flat beer, you with money in your eyes, me with my hand on your ass...
kat		You -- covered in my vomit.
patrick		I was in the laundromat. I saw your car. Thought I'd say hi.
patrick		You're not a big talker, are you?
kat		Depends on the topic. My fenders don't really whip me into a verbal frenzy.
walter		My insurance does not cover PMS
kat		Then tell them I had a seizure.
walter		Is this about Sarah Lawrence? You punishing me?
kat		I thought you were punishing me.
walter		Why can't we agree on this?
kat		Because you're making decisions for me.
walter		As a parent, that's my right
kat		So what I want doesn't matter?
walter		You're eighteen.  You don't know what you want.  You won't know until you're forty-five and you don't have it.
walter		Christ!  I want a night to go by that I'm not staring a contraction in the face.
joey		When I shell out fifty, I expect results.
joey		Watching the bitch trash my car doesn't count as a date.
patrick		I got her under control. She just acts crazed in public to keep up the image.
joey		Let me put it to you this way, if you don't get any action, I don't get any action.  So get your ass on hers by the end of the week.
patrick		A hundred bucks a date.
patrick		Forget her sister, then.
joey		You better hope you're as smooth as you think you are, Verona.
cameron		La copine et I 'ami?  La diferance?
bianca		A "copine" is someone you can count on. An "ami" is someone who makes promises he can't keep.
cameron		You got something on your mind?
bianca		I counted on you to help my cause. You and that thug are obviously failing. Aren't we ever going on our date?
cameron		You have my word.  As a gentleman
bianca		You're sweet.
cameron		 How do you get your hair to look like that?
bianca		Eber's Deep Conditioner every two days. And I never, ever use a blowdryer without the diffuser attachment.
cameron		You know, I read an article about that.
bianca		You did?
patrick		Whatever the hell it is you're standin' there waitin' to say.
cameron		We wanted to talk to you about the plan.
michael		The situation is, my man Cameron here has a major jones for Bianca Stratford.
patrick		What is it with this chick?  She have three tits?
michael		I think I speak correctly when I say that Cameron's love is pure.  Purer than say -- Joey Dorsey's.
patrick		Dorsey can plow whoever he wants. I'm just in this for the cash.
michael		That's where we can help you.  With Kat.
michael		Patrick, Pat, you're not looking at the big picture.  Joey's just a pawn. We set this whole thing up so Cameron can get the girl.
patrick		You two are gonna help me tame the wild beast?
cameron		And he means that strictly in a non- prison-movie type of way.
cameron		This is it.  A golden opportunity. Patrick can ask Katarina to the party.
michael		In that case, we'll need to make it a school-wide blow out.
cameron		Will Bogey get bent?
michael		Are you kidding?  He'll piss himself with joy.  He's the ultimate kiss ass.
bianca		I think I like the white shirt
bianca		Expensive?
joey		Exactly  So, you going to Bogey Lowenbrau's thing on Saturday?
bianca		Hopefully.
joey		Good, 'cause I'm not gonna bother if you won't be there.
bianca		Have you heard about Bogey Lowenstein's party?
cameron		Sure have.
bianca		 I really, really, really wanna go, but I can't.  Not unless my sister goes.
cameron		I'm workin' on it. But she doesn't seem to be goin' for him.
cameron		 She's not a...
bianca		Lesbian?  No. I found a picture of Jared Leto in one of her drawers, so I'm pretty sure she's not harboring same-sex tendencies.
cameron		So that's the kind of guy she likes? Pretty ones?
bianca		Who knows?  All I've ever heard her say is that she'd dip before dating a guy that smokes.
cameron		All right.  What else is she partial to?
patrick		Lou, it's okay.  They're with me.
cameron		I've retrieved certain pieces of information on Miss Katarina Stratford I think you'll find helpful.
patrick		What?!
cameron		Number one.  She hates smokers
cameron		Her favorite uncle
patrick		Are you telling me I'm a -  "non-smoker"?
cameron		Another thing.  Bianca said that Kat likes -- pretty guys.
patrick		What?  You don't think I'm pretty?
cameron		Okay!  I wasn't sure
cameron		 Okay -- Likes:  Thai food, feminist prose, and "angry, stinky girl music of the indie-rock persuasion".
patrick		So what does that give me?  I'm supposed to buy her some noodles and a book and sit around listening to chicks who can't play their instruments?
michael		Ever been to Club Skunk?
patrick		Yeah.
cameron		Gigglepuss is playing there tomorrow night.
michael		Assail your ears for one night.
cameron		It's her favorite band.
michael		I also retrieved a list of her most recent CD purchases, courtesy of American Express.
michael		I prefer to think of it simply as an alternative to what the law allows.
bianca		Can you turn down the Screaming Menstrual Bitches?  I'm trying to study.
bianca		 Don't tell me you're actually going out?  On a school night, no less.
bianca		 Oh my God, does this mean you're becoming normal?
kat		It means that Gigglepuss is playing at Club Skunk and we're going.
bianca		 I don't know why I'm bothering to ask, but are you going to Bogey Lowenstein's party Saturday night?
kat		What do you think?
bianca		I think you're a freak.  I think you do this to torture me.  And I think you suck.
bruce		Take it easy on the guys in there.
bruce		Next time, leave the Bic at home, Skippy.
skippy		It's a bottle opener.
bruce		Didn't have you pegged for a Gigglepuss fan.  Aren't they a little too pre-teen belly-button ring for you?
patrick		Fan of a fan.  You see a couple of minors come in?
bruce		Never
patrick		Padua girls.  One tall, decent body. The other one kinda short and undersexed?
lead singer		Hello, out there.  We're Gigglepuss and we're from Olympia.
patrick		You know, these guys are no Bikini Kill or The Raincoats, but they're right up there.
kat		You know who The Raincoats are?
mandella		Has he importun'd you with love in honourable fashion?
mandella		They were.  I only wish William could have been here to witness the rebirth of punk rock with us.
kat		So true.
cameron		So, then she says that she almost didn't wear the Kenneth Coles with that dress because she thought she was mixing, you know, genres. And the fact that I noticed -- and I'm quoting here - "really meant something."
cameron		Hell, I've just been going over the whole thing in my head and -
michael		What?  We took bathes together when we were kids.
joey		What's your gig in all this?
cameron		I'm just the new guy.
joey		You better not fuck this up.  I'm heavily invested.
michael		Hey -- it's all for the higher good right?
cameron		Is it about me?
miss perky		You're completely demented.
patrick		 See you next week!
miss perky		You two know each other?
bianca		She's obviously not going.
bianca		Daddy, I --
walter		And where're you going?
bianca		If you must know, we were attempting to go to a small study group of friends.
walter		Otherwise known as an orgy?
bianca		It's just a party. Daddy, but I knew you'd forbid me to go since "Gloria Steinem" over there isn't going --
walter		Do you know about any party? Katarina?
bianca		Daddy, people expect me to be there!
walter		If Kat's not going, you're not going.
bianca		You're ruining my life'  Because you won't be normal, I can't be normal.
bianca		Bogey Lowenstein's party is normal, but you're too busy listening to Bitches Who Need Prozac to know that.
walter		What's a Bogey Lowenstein?
bianca		Can't you forget for just one night that you're completely wretched?
kat		At least I'm not a clouted fen- sucked hedge-pig.
bianca		Like I'm supposed to know what that even means.
kat		It's Shakespeare.  Maybe you've heard of him?
bianca		Yeah, he's your freak friend Mandella's boyfriend.  I guess since I'm not allowed to go out, I should obsess over a dead guy, too.
walter		Girls
kat		I know about the goddamn party.  I'm going.
walter		Oh, God.  It's starting.
bianca		It's just a party. Daddy.
walter		Wear the belly before you go.
bianca		Daddy, no!
walter		Just for a minute
walter		 I want you to realize the weight of your decisions.
bianca		You are so completely unbalanced.
walter		 Promise me you won't talk to any boys unless your sister is present.
bianca		Why?
walter		Because she'll scare them away.
bogey		Nice to see you.  Martini bar to the right, shots in the kitchen.
joey		Lookin' fresh tonight, Pussy-Kat
kat		Wait -- was that?-- Did your hairline just recede?
kat		Away.
guy		Drink up, sister.
patrick		What's this?
patrick		I say, do what you wanna do.
kat		Funny, you're the only one
bianca		Where did he go?  He was just here.
bianca		Joey.
cameron		Evening, ladies.
bianca		Hi.
cameron		Looks like things worked out tonight, huh?
bianca		You know Chastity?
cameron		I believe we share an art instructor
bianca		Would you mind getting me a drink, Cameron?
cameron		Certainly Pabst?  Old Milwaukee? RaiJieer?
bianca		Surprise me.
michael		Extremely unfortunate maneuver.
cameron		The hell is that?  What kind of 'guy just picks up a girl and carries her away while you're talking to her?
michael		Buttholus extremus.  But hey, you're making progress.
cameron		No, I ' m not.
cameron		 She used me!  She wants to go out with Dorsey.  Not me.  I'm an idiot!
joey		So yeah, I've got the Sears catalog thing going -- and the tube sock gig " that's gonna be huge.  And then I'm up for an ad for Queen Harry next week.
bianca		Queen Harry?
joey		It's a gay cruise line, but I'll be, like, wearing a uniform and stuff.
bianca		Neat...
joey		My agent says I've got a good shot at being the Prada guy next year.
bianca		I'll be right back.
bianca		He practically proposed when he found out we had the same dermatologist. I mean. Dr. Bonchowski is great an all, but he's not exactly relevant party conversation.
bianca		Combination.  I don't know -- I thought he'd be different.  More of a gentleman...
bianca		Sometimes I wonder if the guys we're supposed to want to go out with are the ones we actually want to go out with, you know?
kat		Bianca, I need to talk to you -- I need to tell you --
bianca		 I really don't think I need any social advice from you right now.
kat		I want another one
joey		My man
patrick		Do what?
joey		Get her to act like a human
patrick		Okay?
kat		I'm fine. I'm
patrick		You're not okay.
kat		I just need to lie down for awhile
patrick		Uh, uh. You lie down and you'll go to sleep
kat		I know, just let me sleep
patrick		What if you have a concussion? My dog went to sleep with a concussion and woke up a vegetable. Not that I could tell the difference...
kat		Okay, I'll just sleep but stay awake, okay?
patrick		C'mon, let's walk
patrick		Cameron, I'm a little busy
cameron		It's off. The whole thing.
patrick		What 're you talking about?
cameron		She's partial to Joey, not me
patrick		Cameron -- do you like the girl?
cameron		Sure
kat		This is so patronizing.
patrick		Leave it to you to use big words when you're shitfaced.
kat		Why 're you doing this?
patrick		I told you
kat		You don't care if I die
patrick		Sure, I do
kat		Why?
patrick		Because then I'd have to start taking out girls who like me.
kat		Like you could find one
patrick		See that?  Who needs affection when I've got blind hatred?
kat		Just let me sit down.
patrick		How's that?
kat		Who?
patrick		Dorsey.
kat		I hate him.
patrick		I know.  It'd have to be a pretty big deal to get you to mainline tequila. You don't seem like the type.
kat		 Hey man. . .  You don ' t think I can be "cool"?  You don't think I can be "laid back" like everyone else?
kat		You know what they say
patrick		No. What do they say?
kat		 What?
patrick		I thought you were...
kat		Go away
bianca		Dinner taste better on the way out?
bianca		 I don't get you.  You act like you're too good for any of this, and then you go totally apeshit when you get here.
kat		You're welcome.
patrick		Cute
joey		A bunch of us are going to Jaret's house.  Wanna come?
bianca		I have to be home in twenty minutes.
cameron		 Have fun tonight?
bianca		Tons
bianca		 Cameron?
bianca		 Do you think you could give me a ride home?
patrick		I'm driving, so I get to pick the tunes.
kat		It's my car.
patrick		And I'm in control of it.
kat		But it's Gigglepuss - I know you like them.  I saw you there.
patrick		Busy
kat		Were you in jail?
patrick		Maybe.
kat		No, you weren't
patrick		Then why'd you ask?
kat		Why'd you lie?
patrick		Do what?
kat		This.
patrick		Start a band?
patrick		You don't strike me as the type that would ask permission.
kat		Oh, so now you think you know me?
patrick		I'm gettin' there
kat		The only thing people know about me is that I'm "scary".
kat		He just wants me to be someone I'm not.
patrick		Who?
kat		BIANCA
patrick		No offense, but you're sister is without.  I know everyone likes her and all, but ...
kat		You know -- you're not as vile as I thought you were.
patrick		So, I'll see you in school
cameron		I looked for you back at the party, but you always seemed to be "occupied".
bianca		 I was?
cameron		You never wanted to go out with 'me, did you?
bianca		 Well, no...
cameron		Then that's all you had to say.
bianca		But
cameron		You always been this selfish?
cameron		Just because you're beautiful, doesn't mean you can treat people like they don't matter.
cameron		 And I'm back in the saddle.
derek		Kat, my lady, you sway to the rhythm of my heart.
clem		Yippe kai-aye, bra.  Dance for me, cowgirl.
derek		Because the deputy meant him no harm, my friend.  It was only the sheriff that was the oppressor.
joey		Kat, babe, you were on fire.
clem		Ms. Blaise, can I get the bathroom pass?  Damn if Shakespeare don't act as a laxative on my person.
mandella		You went to the party?  I thought we were officially opposed to suburban social activity.
kat		I didn't have a choice.
mandella		You didn't have a choice?  Where's Kat and what have you done with her?
kat		I did Bianca a favor and it backfired.
kat		I got drunk.  I puked.  I got rejected. It was big fun.
patrick		Hey
michael		So you got cozy with she who stings?
patrick		No - I've got a sweet-payin' job that I'm about to lose.
cameron		What'd you do to her?
patrick		I don ' t know.  I decided not to nail her when she was too drunk to remember it.
michael		I'm on it
michael		Hey there.  Tired of breathing?
mandella		Yeah.  I guess.
mandella		You think?
mandella		Who could refrain that had a heart to love and in that heart, courage to make ' B love known?
michael		So, listen... I have this friend
cameron		She hates you with the fire of a thousand suns .  That's a direct quote
patrick		She just needs time to cool off I'll give it a day.
cameron		She kissed me.
joey		Don't talk to me about the sweetest date.  That little halo Bianca is gonna be prone and proven on prom night.  Six virgins in a row.
patrick		I don't know, Dorsey. ..the limo.-the flowers.  Another hundred for the tux --
joey		Enough with the Barbie n' Ken shit. I know.
kat		Can you even imagine?  Who the hell would go to this a bastion of commercial excess?
mandella		Well, I guess we're not, since we don't have dates .
kat		Listen to you!  You sound like Betty, all pissed off because Archie is taking Veronica.
kat		You ' re looking at this from the wrong perspective.  We're making a statement.
bianca		 Hi, Joey.
joey		You're concentrating awfully hard considering it's gym class.
bianca		You know the deal.  I can ' t go if Kat doesn't go --
joey		Your sister is going.
bianca		Since when?
patrick		Excuse me, have you seen The Feminine Mystique?  I lost my copy.
patrick		I heard there was a poetry reading.
kat		You 're so --
patrick		Pleasant?
kat		Unwelcome.
patrick		Unwelcome?  I guess someone still has her panties in a twist.
kat		Don't for one minute think that you had any effect whatsoever on my panties.
patrick		So what did I have an effect on ?
kat		Other than my upchuck reflex? Nothing.
patrick		You were right. She's still pissed.
michael		Sweet love, renew thy force!
patrick		Man -- don't say shit like that to  me. People can hear you.
cameron		 You humiliated the woman! Sacrifice yourself on the altar of dignity and even the score.
michael		Best case scenario, you're back on the payroll for awhile.
patrick		What's the worst?
cameron		You get the girl.
patrick		If I go down. I'm takin' her with me
patrick		"I'd hide it to myself.  And never talk about it.  And didn't I go and shout it when you walked into the room --"
patrick		Flog me.
kat		Sir, I'd like to state for the record that Mr. Verona ' s current incarceration is unnecessary.  I never filed a complaint.
kat		But, Mr. Chapin, I hardly think a simple serenade warrants a week of detention.  There are far more hideous acts than off-key singing being performed by the student body on a regular basis.
kat		Wait, Mr. Chapin.  There's something I've always wanted to show you.
kat		These.
kat		Thank you, Mr. Chapin.
kat		He left!  I sprung the dickhead and he cruised on me.
patrick		I guess I never told you I'm afraid of heights.
kat		 C'mon.  It's not that bad
patrick		Try lookin' at it from this angle
kat		Put your right foot there --
patrick		Forget it.  I'm stayin'.
kat		You want me to climb up and show you how to get down?
patrick		 Maybe.
kat		You shit!
kat		The Partridge Family?
patrick		I figured it had to be something ridiculous to win your respect.  And piss you off.
kat		Good call.
patrick		So how'd you get Chapin to look the other way?
kat		I dazzled him with my wit
kat		Yeah, well, don't let it get out
patrick		So what's your excuse?
kat		Acting the way we do.
patrick		Yes
kat		I don't like to do what people expect. Then they expect it all the time and they get disappointed when you change.
patrick		So if you disappoint them from the start, you're covered?
kat		Something like that
patrick		Then you screwed up
kat		How?
patrick		You never disappointed me.
kat		For. . . ?
kat		State trooper?
patrick		Fallacy.
kat		The duck?
patrick		Hearsay.
kat		I know the porn career's a lie.
patrick		Do you?
kat		Tell me something true.
patrick		I hate peas.
kat		No -- something real.  Something no one else knows.
kat		What?
patrick		No one else knows
kat		You're amazingly self-assured. Has anyone ever told you that?
patrick		Go to the prom with me
kat		Is that a request or a command?
patrick		You know what I mean
kat		No.
patrick		No what?
kat		No, I won't go with you
patrick		Why not?
kat		Because I don't want to. It's a stupid tradition.
patrick		People won't expect you to go...
kat		Why are you doing this?
kat		All of it -- what's in it for you?
patrick		So I have to have a motive to be with you?
kat		You tell me.
patrick		You need therapy.  Has anyone ever told you that?
patrick		cover that up
bianca		Quick question -- are you going to the prom?
bianca		Then Guillermo says, "If you go any lighter, you're gonna look like an extra
cameron		No...
bianca		do you listen to this crap?
cameron		What crap?
bianca		Me.  This endless ...blonde babble. I'm like, boring myself.
cameron		Thank God!  If I had to hear one more story about your coiffure...
cameron		 I figured you'd get to the good stuff eventually.
bianca		What good stuff?
cameron		The "real you".
bianca		Like my fear of wearing pastels?
bianca		 You know how sometimes you just become this "persona"?  And you don't know how to quit?
cameron		 No
bianca		Okay -- you're gonna need to learn how to lie.
trevor		You're gonna look splendiferous in that, Mandella.
sharon		Would you rather be ravished by a pirate or a British rear admiral?
walter		Pirate -- no question.
bianca		Daddy, I want to discuss the prom with you. It's tomorrow night --
walter		The prom?  Kat has a date?
bianca		No, but
walter		It's that hot rod Joey, right? That ' s who you want me to bend my rules for?
bianca		He's not a "hot rod".  Whatever that is.
walter		You're not going unless your sister goes.  End of story.
bianca		Fine.  I see that I'm a prisoner in my own house.  I'm not a daughter. I'm a possession!
walter		 You know what happens at proms?
sharon		They'll dance, they'll kiss, they'll come home.  Let her go.
walter		Kissing?  Is that what you think happens?  Kissing isn't what keeps me up to my elbows in placenta all day.
bianca		Come in.
bianca		Like you care.
kat		I do care. But I'm a firm believer in doing something for your own reasons, not someone else ' s .
bianca		I wish I had that luxury. I'm the only sophomore that got asked to the prom and I can't go, because you won ' t.
kat		Joey never told you we went out, did he?
bianca		What?
kat		In 9th.  For a month
bianca		 Why?
bianca		But you hate Joey
kat		Now I do.  Back then, was a different story.
bianca		As in...
kat		He said everyone was doing it.  So I did it.
bianca		You did what?
bianca		But
