****Dialogues from script :Pianist.txt****

the pianist		 by Ronald Harwood  based on the published memoir by Wladyslaw Szpilman
henryk		Banks? Who'd be stupid enough to deposit money in a German bank?
regina		We could hide the money here in the window frame.
father		No, no, no. I'll tell you what we'll do. We'll use tried and tested methods. You know what we did in the last war? We made a hole in the table leg and we hid the money in there.
henryk		And suppose they take the table away?
mother		What d'you mean, take the table away?
henryk		The Germans go into Jewish homes and they just take what they want, furniture, valuables, anything.
mother		Do they?
father		Idiot! What would they want with a table?
mother		What on earth are you doing?
halina		There's a good place under the cupboard.
henryk		No, no. Listen, I've been thinking --
szpilman		That makes a change.
henryk		You know what we do? We use psychology.
szpilman		We use what?
henryk		We leave the money and the watch on the table. And we cover it like this.  In full view. The Germans will search high and low, I promise you, they'll never notice it.
szpilman		Of course they'll notice it. But look--  This is a good place for something.
henryk		A good place for what?  He's insane!
szpilman		Just shut up.
father		 My violin?
regina		Quiet! Quiet! Order, please, order!
halina		She's a lawyer, she likes order.
regina		Listen, just listen. Let's come to an agreement. We jam the money in the window frame. The watch we hide under the cupboard. And the chain we put in the violin.
father		Will I still be able to play?
szpilman		Let's find out.
szpilman		Jurek? Wladek Szpilman.
jurek		 Wladek! How are you?
szpilman		Fine, we're fine, thank you, and you?
jurek		 Fine, we're fine in the circumstances. But I can guess what you've called about. There's nothing we can do; they won't reopen the station--
szpilman		 Yes, I know, but Jurek, Jurek...
jurek		 ...not even music, nothing, no radios for the Poles. But I'm sure you'll find work, Wladek, a pianist like you.
szpilman		Maybe, maybe not, but, Jurek, don't be offended, I didn't call to discuss my future career.
dorota		I nagged Jurek for weeks and weeks. And at last he gave in and said, 'All right, come with me tomorrow,' and so I came and they bombed the station.
szpilman		You know something? Meeting you like that was absolutely wonderful.
dorota		Really?
szpilman		Yes!  It was...it was unforgettable.
dorota		I've always loved your playing, Mr. Szpilman.
szpilman		Wladek, please.
dorota		No one plays Chopin like you.
szpilman		I could accompany you, me on the piano, you on the cello.
dorota		Oh, Mr Szpilman, you're quite... quite wonderful.
szpilman		Wladek, please.
father		 must be one centimetre. Jews who do not respect this decree will be severely punished. Governor of Warsaw District, Dr. Fischer.'
henryk		I won't wear it.
regina		won't wear it. I'm not going to be branded.
szpilman		 Let me see this.
father		Doesn't it say we have to provide these armbands ourselves? Where will we get them?
henryk		We're not going to get them. We're not going to wear them!
german officer		 You!
german officer		Why didn't you bow?
father		 I'm sorry I...
german officer		 You are forbidden to walk on the pavement. Walk in the gutter!
halina		Have you seen this?
szpilman		 What, I'm working, what?
szpilman's voice		What is it?
halina's voice		That's where they're going to put us.
szpilman's voice		What d'you mean, put us?
halina		'By order of the Governor of the Warsaw District, Dr. Fischer, concerning the establishment of the Jewish District in Warsaw. There will be created a Jewish District in which all Jews living in Warsaw or moving to Warsaw will have to reside."  And look here: 'Jews living outside of the prescribed area will have to move to the Jewish district by 31st of
szpilman		But...they won't get all of us... we'll...it's too small...there's four hundred thousand of us in Warsaw!
henryk		No. Three hundred and sixty thousand, so it'll be easy.
halina		Mama, what is it?
mother		Twenty zlotys. That's all we've got left. What can I buy with twenty zlotys?  I'm sick of cooking potatoes, potatoes, potatoes.
mr lipa		That's the price. That's what I'm offering. And my advice is to accept. You won't get more from anyone else.
regina		But...but it's a Steinway, Mr Lipa...
mr lipa		Two thousand. My advice is to take it. What you going to do when you're hungry? Eat the piano?
henryk		Get out! You're a thieving bastard, we don't want your money, get out! We'd rather give it away! Get out!
mr lipa		 Hey! Hey! What's the matter with you? Haven't you eaten today, what you suffering from? Hey!
regina		 Henryk, stop it, leave him alone.
mr lipa		 You people are crazy! I'm doing you a favour, two thousand, and I'm paying for the removal, I'm not even charging for the removal.
mr lipa		You haven't eaten today, you're crazy...
szpilman		 Take it.
szpilman		Dorota!
dorota		I didn't want to come, I didn't want to see all this, but I couldn't stop myself.
szpilman		How are you doing?
dorota		Fine, no, not really, they arrested my cousin, but Jurek says they'll let him out.  This is disgraceful.
szpilman		Don't worry, it won't last long.
dorota		That's what I said, it's so - it's too absurd!
szpilman		I'll see you...soon.
father		To tell you the truth, I thought it would be worse.
szpilman		How will we sleep?
mother		I'll sleep with the girls in the kitchen. You, Henrykc and Papa in here.
halina		 Look! Come and look!
szpilman		You sell anything?
henryk		Just one. Dostoevsky. The Idiot. Three zlotys.
szpilman		That's better than yesterday.
henryk		Three lousy zlotys. And there are people here making millions.
szpilman		I know.
henryk		You don't know, believe me. They bribe the guards. The guards turn a blind eye. They're bringing in cartloads, food, tobacco, liquor, French cosmetics, and the poor are dying all around them and they don't give a damn.
szpilman		I'm afraid not.
henryk		Sometimes I wish I could go mad.
henryk		Don't worry about it, they're about to build a bridge, haven't you heard?
soldiers		Faster! Go on, faster! Dance!
soldiers		Dance! Dance!
mother		Good, they're here. Yitzchak Heller's been waiting for you, Henryk.
henryk		What's this about?
mother		Sit down, have tea, I'll start lunch when the girls get back.
henryk		So, what are you doing here?
father		He brought cakes.
father		His father's back in the jewellery business and doing well, isn't that so, Yitzchak? Amazing. Jewellery.
heller		We're recruiting.
henryk		Who's recruiting?
heller		Don't be clever with me, Henryk. I've come here as a friend. They're bringing Jews in from all over the country. Soon there'll be half a million people in the ghetto. We need more Jewish police...
henryk		 Oh? More Jewish police? You mean you want me to wear a cap like yours, beat up Jews with my truncheon and catch the Gestapo spirit. I see!
heller		 Someone's got to do it, Henryk.
henryk		But why me? I thought you only recruited boys with rich fathers. Look at my father, look at us, I mean...
heller		 Yes, I'm looking at you and that's why I'm here. Your whole family can have a better life. You want to go on struggling for survival, selling books on the street?
henryk		 Yes, please.
heller		 I'm doing you people a favour. And what about you, Wladek? You're a great pianist. And we've got an excellent police jazz band. They'd welcome you with open arms. Join us. You've got no work...
szpilman		Thank you. But I've got work.
benek		 I'm sorry, Mr Wladek, he wants you to stop.
szpilman		 Who wants me to stop?
jehuda		I always say look on the bright side. You're in the small ghetto, intellectuals, professional people, you're better off than us. Here, in the large ghetto, it's a cesspool. But you, you're living in Monte Carlo. You could say you're privileged and that, of course, goes against my principles. Nevertheless...
jehuda		Ah, here. Today's news from the other side.
szpilman		You're amazing, Jehuda.
jehuda		No, I'm a socialist. I have brothers everywhere. They bring me news and food. We care about our fellow human beings. Workers of the world unite.
szpilman		So, what's the news?
jehuda		 The Germans are advancing on Kharkhov.
szpilman		I don't know why I come here every evening, it's always such bad news.
jehuda		Bad news, you crazy? You have no world view, Wladek, that's your trouble. The news couldn't be better. The moment Hitler invaded Russia, I knew we'd be all right. Remember Napoleon. Same business. The Germans will freeze to death, please God.
szpilman		Jehuda, give me something to do.
jehuda		You're an artist, Wladek, you keep people's spirits up. You do enough.
szpilman		But I want to help, I want to.
jehuda		You're too well known, Wladek. And you know what? You musicians don't make good conspirators. You're too...too musical.
szpilman		There are notices going up. The city's to be cleansed of undesirables.
jehuda		There are always notices going up.
majorek		Hello, Symche, Dolek, Mrs Zyskind, Jehuda. Working hard?
jehuda		Majorek, this is the greatest pianist in Poland, maybe in the whole world. Wladyslaw Szpilman. Meet Majorek.
majorek		 I know your name. I've never heard you play.
jehuda		Majorek used to be in the army. Brilliant man. He's got a mind like a searchlight. The only thing I've got against him is he's not a socialist.  You see these, Wladek?  You know how many copies we print of our newspaper?
jehuda		Five hundred. You know how many people on average read one copy? Twenty.  That makes ten thousand readers. These will start the uprising. Majorek hides them in his underpants. And leaves them in toilets.
szpilman		Toilets?
majorek		As many toilets as I can find. Germans never go into Jewish toilets. They're too clean for them.
mother		And, please, tonight, for once, I don't want anything bad talked about. Let's enjoy our meal.
henryk		Okay, then I'll tell you something funny. You know who I mean by Dr. Raszeja.
regina		The surgeon?
henryk		The surgeon. Well, for some reason, don't ask me why, the Germans allowed him into the ghetto to perform an operation...
halina		On a Jew? They allowed a Pole to come in to operate on a Jew?
henryk		He got a pass, that's all I know. Anyway, he puts the patient to sleep and starts the operation. He'd just made the first incision when the SS burst in, shoot the patient lying on the table, and then shoot Dr. Raszeja and everybody else who was there. Isn't that a laugh? The patient didn't feel a thing, he was anaesthetised -
mother		Henryk, I said nothing bad.
henryk		What's the matter with you all? Have you lost your sense of humour?
szpilman		It's not funny.
henryk		Well, you know what's funny? You're funny with that ridiculous tie.
szpilman		What are you talking about, my tie? What's my tie got to do with anything? I need the tie for my work.
mother		Boys, boys...
henryk		Your work, yes, playing the piano for all the parasites in the ghetto, they don't give a damn about people's sufferings, they don't even notice what's going on around them!
father		I blame the Americans.
szpilman		For what? For my tie?
father		American Jews, and there's lots of them, what have they done for us? What do they think they're doing? People here are dying, haven't got a bite to eat. The Jewish bankers over there should be persuading America to declare war on Germany!
nco		 Stand up!
nco		Stand up!
regina		 Be quiet, Mama, for God's sake, be quiet!
szpilman		What's happened?
halina		 Oh my God, it's terrible, you've got to do something, oh my God!
szpilman		 Calm down, what, what is it?
halina		They're hunting people on the streets. They've picked up Henryk.
szpilman		I'm afraid not.
szpilman		 What's happening?
szpilman		 Yitzchak!
szpilman		Yitzchak!
szpilman		Here, please! Wladek Szpilman!
szpilman		Henryk's in there.
heller		I haven't seen him.
szpilman		Believe me, they've picked him up.
heller		Tough luck.
szpilman		Can you help?
heller		Oh, you need me now, yes, now you need me!
szpilman		Can you help us?
heller		It costs.
szpilman		I've no money.
heller		Then there's nothing I can do. He should've joined us when I gave him the chance..
szpilman		Yitzchak, they told me you had influence.
heller		Who told you?
szpilman		People I know. They said you're an important man.
poor woman		 A snatcher! Help me, a snatcher!
rubinstein's voice		Boys, keep your peckers up! And girls, keep your legs crossed!
rubinstein		Don't let 'em get you down -
rubinstein		Bandits! Crooks!  Thieves!
rubinstein		If that means good day, I'm your man, you gangsters, robbers, pirates!
rubinstein		Ich bin meshuge, you bandit!
henryk		 You go to Heller, did I ask you to talk to him?
szpilman		You're out, aren't you?
henryk		Did you beg, did you grovel to that piece of shit, that cockroach?
szpilman		I didn't grovel, I asked him to help.
henryk		What did you pay him?
szpilman		Pay him? With what? With what could I pay him? Every zloty I earn we spend on food!
henryk		I can look after myself!
szpilman		They were taking you away.
henryk		It's nothing to do with you. It's me they wanted, not you. Why do you interfere in other people's business?
szpilman		You're mad, that's your trouble, you're mad.
henryk		That's also my business.
szpilman		What's the matter? Are you sick?
henryk		Hungry.
szpilman		What's that mean, no employment certificate?
henryk		You have to have an employment certificate to work for one of the German firms in the ghetto, otherwise...
szpilman		Otherwise what?
henryk		You'll be deported.
benek		So the rumours were true...
henryk		They're going to resettle us. Send us to labour camps. In the east. And they're closing the small ghetto.
jehuda		Wladek!
jehuda		I thought you'd be off on tour, playing London, Paris, New York?
szpilman		 Not this week.
jehuda		I have to say you look terrible. What's the trouble?
szpilman		You've heard the rumours they're going to resettle us in the East?
jehuda		 Rumours, rumours, you take it all too much to heart, Wladek.
szpilman		I've been trying to get a certificate of employment for my father. I've managed to get certificates for me and the rest of the family but I need one more for my father. I've been trying all the firms, the shops...
jehuda		Why didn't you come to me?
szpilman		I didn't know you were in the certificate business.
jehuda		I'm not, but Majorek is.
szpilman		 Can you help? I've no money...
jehuda		Please, don't insult us.  Can you do something for him?
majorek		Be at the Schultz Workshop, tomorrow, four o'clock.
jehuda		You see what a wonderful piece of luck you've had today? That's die historical imperative in action and that's why I always say, look on...
szpilman		 ...the bright side, yes, I know.
father		 Thank you.
schultz		 My pleasure. It won't help you anyway.
father		At least we've got work in the ghetto. At least we're still together.
nco		Out! Assemble in the yard!
szpilman		We're employed here, we've got certificates -
nco		The rest of you get dressed then report back here. Bring your belongings. Fifteen kilos only.
szpilman		I'm sorry, I did my best, I thought the certificates would save us all.
mother		Stop it, Wladek.
regina		Let's just hope that Henryk and Halina will be better off -
regina		 Where will we be going?
szpilman		Let's sit over there.
father		I can hear you.
father		Dr. Ehrlich, not so loud!
grun		Why you so sure they're sending us to our death?
father		Dr. Ehrlich, what do you want me to do? You want me to fight?
grun		To fight you need organisation, plans, guns!
father		He's right. What d'you think I can do? Fight them with my violin bow?
grun		The Germans would never squander a huge labour force like this. They're sending us to a labour camp.
mother		Henryk!
regina		 Oh my God!
mother		Halina! Henryk!
halina		We heard you were here...we...didn't want...we...we wanted to be with you.
szpilman		 Stupid, stupid!
halina		She's getting on my nerves. What did she do, for God's sake?
grun		 She smothered her baby.
grun		They'd prepared a hiding place and so, of course, they went there. But the baby cried just as the police came. She smothered the cries with her hands. The baby died. A policeman heard the death rattle. He found where they were hiding.
szpilman		What are you reading?
henryk		 'If you prick us, do we not bleed? If you tickle us, do we not laugh? If you poison us, do we not die? And if you wrong us, shall we not revenge?'
szpilman		Very appropriate.
henryk		 Yes, that's why I brought it.
henryk		Idiot. What's he think he's going to do with the money?
father		How much for a caramel?
father		What? For one caramel? What d'you think you're going to do with the money?
father		 Have we got twenty between us?
szpilman		Halina?
halina		What?
szpilman		Funny time to say this.
halina		What?
szpilman		wish I knew you better.
halina		 Thanks.
a voice		Szpilman! Szpilman!
szpilman		 Papa!
szpilman		 Papa! Mama! Halina!
heller		What do you think you're doing, Szpilman? I've saved your life! Now, go on, save yourself!
heller		Don't run!
jewish policeman		Well, off they go for meltdown!
benek		 Why are you here, Mr. Wladek?
szpilman		It's like this... I...we...all of them.
benek		Perhaps they're lucky. The quicker the better.  I've bribed a policeman. He'll come when it's over.
szpilman		 My God. I haven't been outside for - it must be two years.
fellow worker		 Don't get over-excited.
dealers		Gold, buy gold! Dollars! Roubles!
benek		Someone you know?
szpilman		Yes.
benek		A beauty. Who is she?
szpilman		A singer. Her husband's an actor. I knew them well. Good people. I'd like to talk to her.
benek		 Don't forget, Mr. Wladek, they hang them for helping Jews.
szpilman		How long have you been here?
majorek		Since last night. I was pleased to see you.
majorek		They're going to start the final resettlement now. We know what it means. We sent someone out. Zygmunt. A good man. His orders were to follow the trains out of Warsaw. He got to Sokolow. A local railwayman told him the tracks are divided, one branch leading to Treblinka. He said every day freight trains carrying people from Warsaw forked to Treblinka and returned empty. No transports of food are ever seen on that line. And civilians are forbidden to approach the Treblinka station. They're exterminating us. Won't take them long. We're sixty thousand left. Out of half a million. Mostly young people. And this time we're going to fight. We're in good shape. We're organised. We're prepared.
szpilman		If you need help...
bartczak		Hope you played the piano better than you carry bricks.
polish workman		He won't last long if he goes on like this.
bartczak		I'll see if I can get him something better.
worker		 Trouble.
ss captain		 I have important and good news for you. There are rumours circulating that resettlement measures are again going to be taken.
ss captain		 I want to assure you personally that no such measures will be taken now or in the future. Posters will be going up also to this effect. As proof of our good will, we want you to select a delegate, who will be permitted to go into town once a day to buy, on each worker's behalf, five kilos of potatoes and one loaf of bread, which you will be allowed to take back into the ghetto. Now, why would we do that j if we meant to resettle you?
ss captain		 You can do good business on what you don't eat. Isn't that what you Jews are best at? Making 'geld'?
ss captain		 Carry on.
majorek		 The smaller one. At the bottom.
szpilman		 Majorek!
szpilman		Have a favour to ask. I want to get out of here.
majorek		It's easy to get out, it's how you survive on the other side that's hard.
szpilman		I know. But last summer, I worked for a day in Zelazna Brama Square. I saw someone I knew. A singer. Her husband's an actor. They're old friends.  I've written their names down. And their address. If they're still there. Janina Godlewska and Andrzej Bogucki. Good people. Majorek, you go into the town every day. Would you try and make contact? Ask them if they'd help me get out of here?
ss lieutenant		Any fucking plaster?
szpilman		 We're allowed to take food into the ghetto. Five kilos of potatoes and a...
ss lieutenant		Open it.
szpilman		It's only potatoes and bread.
ss lieutenant		Fuck that, you're lying, I can smell it. Open it.
ss lieutenant		You're all the same. Give a Jew a little finger, he takes the whole hand.
ss lieutenant		You lie to me again and I'll shoot you personally.
majorek		I tried your friends. They're not at that address any more.  But.
szpilman		You made contact?
majorek		Be ready to leave in two days' time. Same place as last night.
szpilman		Oh, shit!
szpilman		 No. Why?
all workers		 Hey, ranks unite And follow the White Eagle! Stand up and fight Our mortal enemy. Riflemen, hey! Let's give them fire and brimstone. We'll blow away The yoke of slavery. Punish and rout The rapists of our nation. We'll smash the knout To save our dignity. Soon we'll be proud Of our liberation -
german voices		Get on with it and fall in! Fall in!
bogucki		We haven't much time.
bogucki		You must hurry.
bogucki		We're going to have to keep moving you. The Germans are hunting down indiscriminately now. Jews, non- Jews, anybody, everybody.  See if these fit. And, Wladek, you'd better shave. Use my razor. In the cabinet.
szpilman		Thank you, I don't.
bogucki		You'll be looked after by Mr Gebczynski. He's on the other side of town. You'll stay there tonight. Then we'll find you somewhere else.
janina		I'll bring you food.
bogucki		Let's go.
gebczynski		I'll show you where you're going to sleep.
gebczynski		It's not going to be very comfortable.
szpilman		I'll be fine.
gebczynski		You'll have to stay here until tomorrow afternoon.
gebczynski		We've got a flat for you. Near the ghetto wall. But it's safe.
gebczynski		 Go as near to the front as possible, to the German section.
gebczynski		Must feel better this side of the wall.
szpilman		Yes, but sometimes I'm still not sure which side of the wall I'm on.
gebczynski		Here.
gebczynski		I'll come again. And Janina Bogucki will visit twice a week. Bring more food. See how you are.
gebczynski		Yes, now, this is very important. In case of emergency, I mean emergency, go to this address.
kitten's voice		 Puppydog, what d'you mean, you forgot?
puppydog's voice		What d'you think I mean, Kitten? I forgot, that's what I mean.
kitten's voice		You know what? You treat me like dirt!
puppydog's voice		I treat you like dirt because you are dirt.
kitten's voice		Pig!
puppydog's voice		Cow!
kitten's voice		Pig!
puppydog's voice		Bitch!
kitten's voice		Dirty pig!
puppydog's voice		You're a dirty pig!
kitten's voice		Takes one to know one! Pig!
puppydog's voice		You play like an angel, Kitten.
kitten's voice		If I play like an angel, why don't you listen?
puppydog's voice		I was listening, Kitten.
kitten's voice		Liar, you fell asleep. Pig!
puppydog's voice		 Kitten, let me in.
janina		wanted to come earlier but...
szpilman		Thank you.
janina		No one thought they'd hold out so long.
szpilman		should never have come out. I should've stayed there, fought with them.
janina		 Wladek, stop that. It's over now. Just be proud it happened. My God, did they put up a fight.
szpilman		Yes, so did the Germans.
janina		They're in shock. They didn't expect it. Nobody expected it. Jews fighting back? Who'd have thought?
szpilman		Yes, but what good did it do?
janina		 What good? Wladek, I'm surprised at you. They died with  dignity, that's what good it did. And you know something else?  Now the Poles will rise. We're ready. We'll fight, too. You'll see.
gebczynski		Get your things together, you have to leave!
szpilman		What's happened?
gebczynski		I'm on the run!
szpilman		What's happened?
gebczynski		The Gestapo found our weapons. They've arrested Janina and Andrzej. They're bound to find out about this place, too - you must get away at once.
szpilman		Where do you want me to go?  Look at me. No, no, I'm not leaving. Can't I take my chances here?
gebczynski		That's your decision.  But when they storm the flat, throw yourself out of die window - don't let them get you alive. I have poison on me, they won't get me alive either!
kitty's voice		Open this door at once, or we'll call the police!
kitty		Are you from the flat in there? You're not registered.
szpilman		It belongs to a friend of mine. I came to visit but I must have just missed him.
kitty		 Have you got your identity card? Let me see your identity card!
kitty		I want to see your identity card!
kitty		 He's a Jew! He's a Jew! Stop the Jew! Don't let him out!
woman's voice		 Yes?
szpilman		Mr Gebczynski sent me.
dorota		 Wladyslaw Szpilman.
szpilman		Dorota.
dorota		Come in! come in!
dorota		Sit.
szpilman		I'm sorry - I was given this address. I'm looking for a Mr--  -- a Mr Dzikiewicz.
dorota		 Michal Dzikiewicz. He's my husband.
szpilman		I need help.
dorota		He'll be back before curfew.
szpilman		I've been in hiding. I need somewhere to stay.
dorota		He'll be here soon.
szpilman		How long have you been married?
dorota		Just over a year.
szpilman		And how's Yurek?
dorota		Dead.
szpilman		When's your baby due?
dorota		Christmas.  This is not a good time to have children. But then...
dorota		This is my husband. Wladyslaw Szpilman. Marek Gebczynski sent him.
michal		Oh, yes. I remember.
szpilman		Mr Gebczynski said to contact you only in an emergency, but...
michal		Don't worry now. We can't move you tonight.
michal		You'll sleep on the sofa.
szpilman		Excuse me, could I have a piece of bread?
michal		Yes, of course, we'll eat.
michal		 You're in a very German area. The building opposite is a hospital, taking in wounded from the Russian front. Next door is the Schutzpolizei. It's the safest place to be. Right in the centre of the lion's den.
michal		I'll be locking you in. No one knows you're here. So keep as quiet as possible.
michal		All well?
szpilman		Thank you.
michal		This is Antek Szalas.
michal		He's going to look after you. I've given him a second key. He'll bring you food. See that you're all right. He's with the underground, a good man.
szalas		You don't remember me, Mr. Szpilman?
szpilman		No, I don't think so?
szalas		Warsaw Radio. I was a technician. I saw you almost every day.
szpilman		Sorry, I don't remember.
szalas		Doesn't matter. You've nothing to worry about. I'll visit often.
michal		And you'll be pleased to hear the Allies are bombing Germany night after night - Cologne, Hamburg, Berlin.
szalas		And the Russians are really giving them hell. It's the beginning of the end.
michal		Let's hope so. I don't know when I'll see you again?
szalas		Still alive then, are you? Here. Sausage. Bread.
szpilman		How long is this meant to last?
szpilman		think I've got jaundice.
szalas		You don't want to worry about that. My grandfather was jilted by his girl friend when he got jaundice.  In my opinion, jaundice is not very serious. Drink up.
szpilman		Why didn't you come sooner? It's been over two weeks.
szalas		Problems. Money. I've got to raise money to buy the food. I need things to sell, it' s not easy.
szpilman		Sell this. Food's more important than time.
szalas		Oh, yes. I meant to tell you. The Allies have landed in France. The Russians'll be here soon. They'll beat the shit out of the Germans. Any day now.
dorota		Wladek? Wladek!  I knew it, I knew this would happen!
dorota		I'm going to get a doctor.
michal		You can't, it's too dangerous.
dorota		I'll get Dr Luczak, we can trust him.
michal		Dorota, don't be ridiculous, he's a pediatrician.
dorota		He's still a doctor.
michal		No, you stay, I'll go.
dorota		We came to say goodbye. We're going to stay with my mother in Otwock.The baby's already there. It's safer. There's talk that the uprising will begin any day now.
dorota		That man Szalas should be shot. He's been collecting money on your behalf all over Warsaw. Apparently, people gave generously. So he collected a tidy sum. He told us he was visiting you daily.
dorota		Oh God!
doctor		Acute inflammation of the gall bladder. Liver the size of a football. But he'll live. I'll try to get hold of some levulose, but it's not easy.
dorota		Can you visit him again?
doctor		Who knows?
szpilman		Doctor, thank you.
doctor		Don't speak. Rest.
dorota		Michal brought food. I'll prepare something now for you, then we must go.
voices		 Where? Where? Just get out! Everywhere! Get out into the street!
german voice		Fourth floor, Fischke!
german voice		At the double, Fischke!
szpilman		 I was... I was trying to open this tin.
szpilman		I am... I was a pianist.
szpilman		 In the attic.
szpilman		Please.
szpilman		What's all that gunfire?
szpilman		What's happening?
szpilman		 Are the Russians here?
szpilman		I don't know how to thank you.
szpilman		What about you?
szpilman		I'll play the piano again. On Polish radio.
szpilman		Szpilman.
loudspeaker voice		...German army! Polish soil liberated!  Official!
the woman		German! German!
szpilman		 Stop, for God's sake, I beg you, I'm Polish!
szpilman		Don't shoot! I'm Polish!
szpilman		 Don't shoot! I'm Polish! Please, please! I'm Polish!
szpilman		I'm cold.
lednicki		Murderers! Assassins!  Look at you now! You took everything I had! Me, a musician!  You took my violin! You took my soul!
lednicki		Yes, of course, I know Szpilman.
russian guard		 Hey! No talking to the prisoners. Get away from there!
lednicki		 What's your name?
lednicki		What?
lednicki		It was here, I'm certain of it.
szpilman		It's not here now.
lednicki		I shouted abuse at them, I'm not proud of it, but that's what I did, and, I'm certain, I stood where you are now. There was barbed wire, and this German came up to me.
szpilman		You didn't catch his name.
lednicki		No. I'll ask at the factory. They may know something.
****Dialogues from script :Piano.txt****

seamen		Hold still you smutt! Blast the boat! Look up! Look up! Lay to! Lay to. Up with it you buggerers, hold hard! Damn me won't you hold?! Etc.
seamen		It's a little rough out there. Could be they can't get through to you in this weather. Maybe they'll come over land.
seamen		Have you things for shelter?
seamen		What things have you?
flora		She says, "thank you".
seamen		Does your mother prefer to come on with us to Nelson?
flora		She says, No. She says she'd rather be boiled alive by natives than get back in your tub.
seamen		 You be damn fortuned I don't smack your puppy gob, missy. Damn lucky.
flora		 Mother... I'm thinking
baines		Are we stopping?... Do you want to stop?
baines		Shall we stop?
baines		Tai hoa! Me tatari tatou .., me tutatou I konei.  SUBTITLED
stewart		We must get on.
tame		Aue tepatupsiarehe!  SUBTITLED
stewart		Miss McGrath, Alisdair Stewart. You'll have to wake yourself. I've got men here to carry your things.
stewart		I see you have a good many boxes, I'd like to know what is in each.
stewart		CAN - YOU - HEAR - ME?
stewart		Well that is good, yes that is good, good.
stewart		What's in here?
stewart		Ohh, yes so it is, written there, crockery.
stewart		And this one?
stewart		You're small. I never thought you'd be small.
stewart		What's here?
stewart		What's in here then, lead?
flora		 It's my mother's piano.
stewart		A piano?
stewart		Tell them to carry in pairs.
stewart		What do you think?
baines		She looks tired.
stewart		She's stunted, that's one thing.
baines		Anei nga pouaka - ko era e toro. Me era e raa.  UNSUBTITLED
hone		E Hoal
stewart		Oh no, it can't come now.
flora		It must come.
flora		She wants it to come.
stewart		Yes and so do I, but there are too few of us here to carry it. TOO - HEAVY
stewart		Do you mean you don't want your kitchenware or your clothes? Is that what you mean?
flora		We can't leave the piano
stewart		Let us not discuss this further. I am very pleased....
flora		Mother wants to know if they could come back directly for it?
flora		After they have taken the other things?
pito		Kei Riri a te raho Maroke. 
stewart		I suggest you prepare for a difficult journey. The bush will tear clothes and the mud is deep in places.
stewart		 What are they doing? We don't have time for that.
baines		Mr. Stewart asked if I might show you to the path.  ... May I carry something?
baines		aha tenei?  SUBTITLED
hone		E hinga te Koroua ra B Pitama i konci. Kare noa Kia hikina te tapu.  UNSUBTITLED
stewart		What's he say?
baines		Someone died here. It's tapu.
stewart		But we came down this way didn't we? I'm sure we did.
hone		E Tarna heke atu ki ram - tiro his atu. Rapuhia mai he huarahi re!  UNSUBTITLED
tipi		'cia tupato he ana taniwba ke raro na.  SUBTITLED
